time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-08-23T04:00:00+01:00,884.03,884.73,879.78,882.78,-11498.572,-11100.947,-12598.069,-12232.175
2025-08-23T05:00:00+01:00,882.77,887.65,882.57,887.41,-12232.175,-10141.280999999999,-12329.859999999999,-10281.012999999999
2025-08-23T06:00:00+01:00,887.41,893.23,886.51,891.13,-10281.012999999999,-3994.0959999999995,-10879.396999999999,-5494.683999999998
2025-08-23T07:00:00+01:00,891.13,891.74,887.91,889.42,-5494.683999999998,-5381.281999999998,-6911.837999999998,-6767.5239999999985
2025-08-23T08:00:00+01:00,889.42,891.75,886.69,887.32,-6767.5239999999985,-6438.284999999998,-8080.594999999998,-8030.210999999998
2025-08-23T09:00:00+01:00,887.33,891.53,884.3,890.32,-8030.210999999998,-6645.251999999999,-9576.528999999999,-7200.970999999999
2025-08-23T10:00:00+01:00,890.31,897.11,888.35,893.63,-7200.970999999999,2387.1990000000014,-7874.261999999999,-225.77899999999863
2025-08-23T11:00:00+01:00,893.64,893.64,885.97,886.61,-225.77899999999863,-225.77899999999863,-3084.168999999998,-3040.6249999999973
2025-08-23T12:00:00+01:00,886.61,891.94,885.89,888.41,-3040.6249999999973,-1644.6649999999972,-3319.154999999997,-2686.5739999999973
2025-08-23T13:00:00+01:00,888.42,891.9,885.32,890.84,-2686.5739999999973,-1622.8589999999972,-3954.543999999997,-1905.1809999999973
2025-08-23T14:00:00+01:00,890.83,894.12,889.1,892.41,-1905.1809999999973,90.32800000000339,-1980.5399999999972,-456.2989999999968
2025-08-23T15:00:00+01:00,892.4,893.12,887.51,888.7,-456.2989999999968,-1.812999999996805,-3944.102999999998,-3682.031999999998
2025-08-23T16:00:00+01:00,888.7,890.9,888.23,888.64,-3682.031999999998,-3456.9129999999977,-4599.655999999997,-4011.899999999998
2025-08-23T17:00:00+01:00,888.64,889.77,881.82,883.95,-4011.899999999998,-3419.7959999999975,-7859.575999999996,-7279.6429999999955
2025-08-23T18:00:00+01:00,883.94,885.25,879.1,881.12,-7279.6429999999955,-7108.594999999996,-9759.216999999997,-9574.565999999995
2025-08-23T19:00:00+01:00,881.12,882.74,880.81,881.96,-9574.565999999995,-8833.505999999996,-9574.565999999995,-9286.092999999995
2025-08-23T20:00:00+01:00,881.96,884.12,881.51,883.38,-9286.092999999995,-8133.439999999995,-9334.432999999995,-8171.996999999995
2025-08-23T21:00:00+01:00,883.37,883.37,880.82,882.16,-8171.996999999995,-8171.996999999995,-8578.595999999994,-8284.790999999996
2025-08-23T22:00:00+01:00,882.16,882.23,875.55,880.26,-8284.790999999996,-8284.790999999996,-15117.341999999997,-14418.592999999997
2025-08-23T23:00:00+01:00,880.26,882.81,880,882.32,-14418.592999999997,-13255.494999999997,-14938.278999999997,-13421.831999999997
2025-08-24T00:00:00+01:00,882.32,883.93,880,880.42,-13421.831999999997,-12169.239999999996,-14257.212999999996,-13968.807999999997
2025-08-24T01:00:00+01:00,880.42,886.66,880.3,885.59,0,1521.9379999999999,-124.368,1167.634
2025-08-24T02:00:00+01:00,885.58,885.59,880.51,882.27,1167.634,2746.9760000000006,540.9030000000002,2299.26
2025-08-24T03:00:00+01:00,882.28,884.02,876.3,877.09,2299.26,5296.589,-3902.2660000000005,-3640.2170000000006
2025-08-24T04:00:00+01:00,877.08,879.44,874.51,878.64,-3640.2170000000006,-3640.2170000000006,-6396.6900000000005,-3952.7369999999996
2025-08-24T05:00:00+01:00,878.64,882.22,878.64,880.82,-3952.7369999999996,-3473.4659999999994,-4250.5109999999995,-4039.8289999999997
2025-08-24T06:00:00+01:00,880.83,881.15,875.36,877.93,-4039.8289999999997,-4039.8289999999997,-14269.049,-13523.225000000002
2025-08-24T07:00:00+01:00,877.93,877.93,870.66,871.26,-13523.225000000002,-13341.640000000003,-19466.008,-18587.740000000005
2025-08-24T08:00:00+01:00,871.26,874.56,870.24,870.36,-18587.740000000005,-17538.955000000005,-19249.911000000004,-19249.911000000004
2025-08-24T09:00:00+01:00,870.36,872.06,867.91,869.47,-19249.911000000004,-19035.709000000003,-23859.291000000005,-23295.478000000006
2025-08-24T10:00:00+01:00,869.48,871.28,868.11,868.71,-23295.478000000006,-23073.194000000007,-25015.368000000006,-24703.207000000006
2025-08-24T11:00:00+01:00,868.7,868.71,861.64,862.41,-24703.207000000006,-24703.207000000006,-33393.21500000001,-32658.14000000001
2025-08-24T12:00:00+01:00,862.41,863.92,860.49,861.5,-32658.14000000001,-31421.66300000001,-33936.82600000001,-33936.82600000001
2025-08-24T13:00:00+01:00,861.49,862.3,860,861.2,-33936.82600000001,-33693.44900000001,-36579.14500000001,-35858.30900000001
2025-08-24T14:00:00+01:00,861.2,865.67,861.01,863.09,-35858.30900000001,-32173.42100000001,-35858.30900000001,-33239.29100000001
2025-08-24T15:00:00+01:00,863.08,869,861.33,868.34,-33239.29100000001,-30057.939000000013,-33601.29300000001,-31058.849000000013
2025-08-24T16:00:00+01:00,868.34,872.37,865.42,867.43,-31058.849000000013,-27601.214000000014,-31386.865000000013,-29844.992000000013
2025-08-24T17:00:00+01:00,867.43,869.14,865.97,867.37,-29844.992000000013,-29344.19900000001,-31402.27000000001,-30958.399000000012
2025-08-24T18:00:00+01:00,867.37,876,867.36,873.97,-30958.399000000012,-26549.03300000001,-30967.33800000001,-28643.117000000013
2025-08-24T19:00:00+01:00,873.97,883.46,872.39,879.71,-28643.117000000013,-25565.530000000013,-28950.260000000013,-27319.500000000015
2025-08-24T20:00:00+01:00,879.71,881.61,859.34,869.52,-27319.500000000015,-27274.139000000014,-42614.48200000002,-40074.771000000015
2025-08-24T21:00:00+01:00,869.51,872.33,860.35,868.98,-40074.771000000015,-39755.523000000016,-44543.67700000002,-40629.752000000015
2025-08-24T22:00:00+01:00,868.97,878.99,866.39,876.07,-40629.752000000015,-36249.966000000015,-41263.201000000015,-36561.411000000015
2025-08-24T23:00:00+01:00,876.08,878.8,871.78,877.61,-36561.411000000015,-35897.41000000002,-37250.00500000001,-35897.41000000002
2025-08-25T00:00:00+01:00,877.6,880.24,875.46,876.51,-35897.41000000002,-35208.34000000002,-36169.91600000002,-35884.72700000002
